PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"31767182","Glucagon-like peptide 1 (GLP-1)","Müller TD, Finan B, Bloom SR, D'Alessio D, Drucker DJ, Flatt PR, Fritsche A, Gribble F, Grill HJ, Habener JF, Holst JJ, Langhans W, Meier JJ, Nauck MA, Perez-Tilve D, Pocai A, Reimann F, Sandoval DA, Schwartz TW, Seeley RJ, Stemmer K, Tang-Christensen M, Woods SC, DiMarchi RD, Tschöp MH.","Mol Metab. 2019 Dec;30:72-130. doi: 10.1016/j.molmet.2019.09.010. Epub 2019 Sep 30.","Müller TD","Mol Metab","2019","2019/11/27","PMC6812410","","10.1016/j.molmet.2019.09.010"
"31217225","Current best practices in single-cell RNA-seq analysis: a tutorial","Luecken MD, Theis FJ.","Mol Syst Biol. 2019 Jun 19;15(6):e8746. doi: 10.15252/msb.20188746.","Luecken MD","Mol Syst Biol","2019","2019/06/21","PMC6582955","","10.15252/msb.20188746"
"31604268","Translational genomics and precision medicine: Moving from the lab to the clinic","Zeggini E, Gloyn AL, Barton AC, Wain LV.","Science. 2019 Sep 27;365(6460):1409-1413. doi: 10.1126/science.aax4588.","Zeggini E","Science","2019","2019/10/12","","","10.1126/science.aax4588"
"28235194","Gut-Brain Cross-Talk in Metabolic Control","Clemmensen C, Müller TD, Woods SC, Berthoud HR, Seeley RJ, Tschöp MH.","Cell. 2017 Feb 23;168(5):758-774. doi: 10.1016/j.cell.2017.01.025.","Clemmensen C","Cell","2017","2017/02/25","PMC5839146","NIHMS942709","10.1016/j.cell.2017.01.025"
"30531847","Role of astrocytes, microglia, and tanycytes in brain control of systemic metabolism","García-Cáceres C, Balland E, Prevot V, Luquet S, Woods SC, Koch M, Horvath TL, Yi CX, Chowen JA, Verkhratsky A, Araque A, Bechmann I, Tschöp MH.","Nat Neurosci. 2019 Jan;22(1):7-14. doi: 10.1038/s41593-018-0286-y. Epub 2018 Dec 10.","García-Cáceres C","Nat Neurosci","2019","2018/12/12","","","10.1038/s41593-018-0286-y"
"30664745","Identification of new therapeutic targets for osteoarthritis through genome-wide analyses of UK Biobank data","Tachmazidou I, Hatzikotoulas K, Southam L, Esparza-Gordillo J, Haberland V, Zheng J, Johnson T, Koprulu M, Zengini E, Steinberg J, Wilkinson JM, Bhatnagar S, Hoffman JD, Buchan N, Süveges D; arcOGEN Consortium, Yerges-Armstrong L, Smith GD, Gaunt TR, Scott RA, McCarthy LC, Zeggini E.","Nat Genet. 2019 Feb;51(2):230-236. doi: 10.1038/s41588-018-0327-1. Epub 2019 Jan 21.","Tachmazidou I","Nat Genet","2019","2019/01/22","PMC6400267","EMS80782","10.1038/s41588-018-0327-1"
"31128275","Systems Biology of Plant-Microbiome Interactions","Rodriguez PA, Rothballer M, Chowdhury SP, Nussbaumer T, Gutjahr C, Falter-Braun P.","Mol Plant. 2019 Jun 3;12(6):804-821. doi: 10.1016/j.molp.2019.05.006. Epub 2019 May 23.","Rodriguez PA","Mol Plant","2019","2019/05/26","","","10.1016/j.molp.2019.05.006"
"31671603","Glucagon Regulation of Energy Expenditure","Kleinert M, Sachs S, Habegger KM, Hofmann SM, Müller TD.","Int J Mol Sci. 2019 Oct 30;20(21):5407. doi: 10.3390/ijms20215407.","Kleinert M","Int J Mol Sci","2019","2019/11/02","PMC6862306","","10.3390/ijms20215407"
"28672128","Exploring pathways linking greenspace to health: Theoretical and methodological guidance","Markevych I, Schoierer J, Hartig T, Chudnovsky A, Hystad P, Dzhambov AM, de Vries S, Triguero-Mas M, Brauer M, Nieuwenhuijsen MJ, Lupp G, Richardson EA, Astell-Burt T, Dimitrova D, Feng X, Sadeh M, Standl M, Heinrich J, Fuertes E.","Environ Res. 2017 Oct;158:301-317. doi: 10.1016/j.envres.2017.06.028. Epub 2017 Jun 30.","Markevych I","Environ Res","2017","2017/07/04","","","10.1016/j.envres.2017.06.028"
"28398233","Therapeutic Potential of Targeting the Ghrelin Pathway","Colldén G, Tschöp MH, Müller TD.","Int J Mol Sci. 2017 Apr 11;18(4):798. doi: 10.3390/ijms18040798.","Colldén G","Int J Mol Sci","2017","2017/04/12","PMC5412382","","10.3390/ijms18040798"
"31689410","Lipid nanocarriers for microRNA delivery","Scheideler M, Vidakovic I, Prassl R.","Chem Phys Lipids. 2020 Jan;226:104837. doi: 10.1016/j.chemphyslip.2019.104837. Epub 2019 Nov 2.","Scheideler M","Chem Phys Lipids","2020","2019/11/06","","","10.1016/j.chemphyslip.2019.104837"
"30787442","The centrosome protein AKNA regulates neurogenesis via microtubule organization","Camargo Ortega G, Falk S, Johansson PA, Peyre E, Broix L, Sahu SK, Hirst W, Schlichthaerle T, De Juan Romero C, Draganova K, Vinopal S, Chinnappa K, Gavranovic A, Karakaya T, Steininger T, Merl-Pham J, Feederle R, Shao W, Shi SH, Hauck SM, Jungmann R, Bradke F, Borrell V, Geerlof A, Reber S, Tiwari VK, Huttner WB, Wilsch-Bräuninger M, Nguyen L, Götz M.","Nature. 2019 Mar;567(7746):113-117. doi: 10.1038/s41586-019-0962-4. Epub 2019 Feb 20.","Camargo Ortega G","Nature","2019","2019/02/22","","","10.1038/s41586-019-0962-4"
"31901725","Editorial","Michalke B.","J Trace Elem Med Biol. 2020 Mar;58:126449. doi: 10.1016/j.jtemb.2019.126449. Epub 2019 Dec 23.","Michalke B","J Trace Elem Med Biol","2020","2020/01/06","","","10.1016/j.jtemb.2019.126449"
"26424645","The Epigenetic Life Cycle of Epstein-Barr Virus","Hammerschmidt W.","Curr Top Microbiol Immunol. 2015;390(Pt 1):103-17. doi: 10.1007/978-3-319-22822-8_6.","Hammerschmidt W","Curr Top Microbiol Immunol","2015","2015/10/02","","","10.1007/978-3-319-22822-8_6"
"28263886","Gene editing in mouse zygotes using the CRISPR/Cas9 system","Wefers B, Bashir S, Rossius J, Wurst W, Kühn R.","Methods. 2017 May 15;121-122:55-67. doi: 10.1016/j.ymeth.2017.02.008. Epub 2017 Mar 2.","Wefers B","Methods","2017","2017/03/07","","","10.1016/j.ymeth.2017.02.008"
"28768181","Long-Term Cold Adaptation Does Not Require FGF21 or UCP1","Keipert S, Kutschke M, Ost M, Schwarzmayr T, van Schothorst EM, Lamp D, Brachthäuser L, Hamp I, Mazibuko SE, Hartwig S, Lehr S, Graf E, Plettenburg O, Neff F, Tschöp MH, Jastroch M.","Cell Metab. 2017 Aug 1;26(2):437-446.e5. doi: 10.1016/j.cmet.2017.07.016.","Keipert S","Cell Metab","2017","2017/08/03","","","10.1016/j.cmet.2017.07.016"
"26082496","Development of an intein-mediated split-Cas9 system for gene therapy","Truong DJ, Kühner K, Kühn R, Werfel S, Engelhardt S, Wurst W, Ortiz O.","Nucleic Acids Res. 2015 Jul 27;43(13):6450-8. doi: 10.1093/nar/gkv601. Epub 2015 Jun 16.","Truong DJ","Nucleic Acids Res","2015","2015/06/18","PMC4513872","","10.1093/nar/gkv601"
"28364192","Protein arginine methylation: a prominent modification and its demethylation","Wesche J, Kühn S, Kessler BM, Salton M, Wolf A.","Cell Mol Life Sci. 2017 Sep;74(18):3305-3315. doi: 10.1007/s00018-017-2515-z. Epub 2017 Mar 31.","Wesche J","Cell Mol Life Sci","2017","2017/04/02","","","10.1007/s00018-017-2515-z"
"31747912","A novel epigenetic signature for overall survival prediction in patients with breast cancer","Bao X, Anastasov N, Wang Y, Rosemann M.","J Transl Med. 2019 Nov 20;17(1):380. doi: 10.1186/s12967-019-2126-6.","Bao X","J Transl Med","2019","2019/11/22","PMC6889649","","10.1186/s12967-019-2126-6"
"29145015","Glial control of neurogenesis","Falk S, Götz M.","Curr Opin Neurobiol. 2017 Dec;47:188-195. doi: 10.1016/j.conb.2017.10.025. Epub 2017 Nov 13.","Falk S","Curr Opin Neurobiol","2017","2017/11/18","","","10.1016/j.conb.2017.10.025"
"27856714","Nasal high flow reduces dead space","Möller W, Feng S, Domanski U, Franke KJ, Celik G, Bartenstein P, Becker S, Meyer G, Schmid O, Eickelberg O, Tatkov S, Nilius G.","J Appl Physiol (1985). 2017 Jan 1;122(1):191-197. doi: 10.1152/japplphysiol.00584.2016. Epub 2016 Nov 17.","Möller W","J Appl Physiol (1985)","2017","2016/11/19","PMC5283847","","10.1152/japplphysiol.00584.2016"
