Authors,Title,Link,Affiliations,Authors with affiliations
"Zimmermann T.P., Dammers S., Stammler A., Bögge H., Glaser T.","Reactivity Differences for the Oxidation of FeIIFeII to FeIII(µ-O)FeIII Complexes Caused by Pyridyl versus 6-Methyl-Pyridyl Ligands","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85058701191&doi=10.1002%2fejic.201801069&partnerID=40&md5=c6e16fbe8f3c27088ff8139129952a64","Lehrstuhl für Anorganische Chemie I, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, 33615, Germany","Zimmermann, T.P., Lehrstuhl für Anorganische Chemie I, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, 33615, Germany; Dammers, S., Lehrstuhl für Anorganische Chemie I, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, 33615, Germany; Stammler, A., Lehrstuhl für Anorganische Chemie I, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, 33615, Germany; Bögge, H., Lehrstuhl für Anorganische Chemie I, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, 33615, Germany; Glaser, T., Lehrstuhl für Anorganische Chemie I, Fakultät für Chemie, Universität Bielefeld, Universitätsstr. 25, Bielefeld, 33615, Germany"
"Pucker B., Brockington S.F.","Genome-wide analyses supported by RNA-Seq reveal non-canonical splice sites in plant genomes","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85059264104&doi=10.1186%2fs12864-018-5360-z&partnerID=40&md5=55953d57355ddc70704fbec45bb5a3ff","Evolution and Diversity, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom; Genetics and Genomics of Plants, CeBiTec, Faculty of Biology, Bielefeld University, Bielefeld, Germany","Pucker, B., Evolution and Diversity, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom, Genetics and Genomics of Plants, CeBiTec, Faculty of Biology, Bielefeld University, Bielefeld, Germany; Brockington, S.F., Evolution and Diversity, Department of Plant Sciences, University of Cambridge, Cambridge, United Kingdom"
"Castelo Branco Araujo F., de Aguiar Portela Moita E.","The Problems of Under-Inclusion in Marine Biodiversity Conservation: the Case of Brazilian Traditional Fishing Communities","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060764642&doi=10.1007%2fs41649-018-0068-6&partnerID=40&md5=2788f94a9c2a826abe66c4ad026b3948","Aix-Marseille Université, Espace Cassin, 3 avenue Robert Schuman, Aix-en-Provence Cedex 1, 13628, France; Universidade de Brasília, Campus Universitário Darcy Ribeiro, Faculdade de Direito, Brasília-DF, 70910-970, Brazil; Universität Bielefeld, Universitätsstraße 25, Bielefeld, 33615, Germany","Castelo Branco Araujo, F., Aix-Marseille Université, Espace Cassin, 3 avenue Robert Schuman, Aix-en-Provence Cedex 1, 13628, France, Universidade de Brasília, Campus Universitário Darcy Ribeiro, Faculdade de Direito, Brasília-DF, 70910-970, Brazil; de Aguiar Portela Moita, E., Universidade de Brasília, Campus Universitário Darcy Ribeiro, Faculdade de Direito, Brasília-DF, 70910-970, Brazil, Universität Bielefeld, Universitätsstraße 25, Bielefeld, 33615, Germany"
"Hosseini B., Hammer B.","Confident Kernel Sparse Coding and Dictionary Learning","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061398391&doi=10.1109%2fICDM.2018.00130&partnerID=40&md5=d61d1b0275e8dda663949c287af239ca","Bielefeld University, Bielefeld, Germany","Hosseini, B., Bielefeld University, Bielefeld, Germany; Hammer, B., Bielefeld University, Bielefeld, Germany"
"Koiva R., Schwank T., Walck G., Haschke R., Ritter H.J.","Mechatronic fingernail with static and dynamic force sensing","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062303591&doi=10.1109%2fIROS.2018.8594207&partnerID=40&md5=29932299253abd54d20a301e1d2f6df2","Neuroinformatics Group, Center of Excellence Cognitive Interaction Technology, Bielefeld University, Bielefeld, 33619, Germany","Koiva, R., Neuroinformatics Group, Center of Excellence Cognitive Interaction Technology, Bielefeld University, Bielefeld, 33619, Germany; Schwank, T., Neuroinformatics Group, Center of Excellence Cognitive Interaction Technology, Bielefeld University, Bielefeld, 33619, Germany; Walck, G., Neuroinformatics Group, Center of Excellence Cognitive Interaction Technology, Bielefeld University, Bielefeld, 33619, Germany; Haschke, R., Neuroinformatics Group, Center of Excellence Cognitive Interaction Technology, Bielefeld University, Bielefeld, 33619, Germany; Ritter, H.J., Neuroinformatics Group, Center of Excellence Cognitive Interaction Technology, Bielefeld University, Bielefeld, 33619, Germany"
"Pörtner A., Schröder L., Rasch R., Sprute D., Hoffmann M., König M.","The Power of Color: A Study on the Effective Use of Colored Light in Human-Robot Interaction","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85063000345&doi=10.1109%2fIROS.2018.8594231&partnerID=40&md5=966535e5a9fbfd6485be900cc391b3c7","Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany; Otto-von-Guericke University Magdeburg, Faculty of Computer Science, Magdeburg, 39106, Germany; Bielefeld University, Bielefeld, 33619, Germany","Pörtner, A., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany, Otto-von-Guericke University Magdeburg, Faculty of Computer Science, Magdeburg, 39106, Germany; Schröder, L., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany; Rasch, R., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany, Bielefeld University, Bielefeld, 33619, Germany; Sprute, D., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany, Otto-von-Guericke University Magdeburg, Faculty of Computer Science, Magdeburg, 39106, Germany; Hoffmann, M., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany; König, M., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany"
"Li Q., Ückermann A., Haschke R., Ritter H.","Estimating an Articulated Tool's Kinematics via Visuo-Tactile Based Robotic Interactive Manipulation","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062970240&doi=10.1109%2fIROS.2018.8594295&partnerID=40&md5=ed80e1079e5d32547c81b1d31c6b91a6","Bielefeld University, Neuroinformatics Group, CITEC, Germany","Li, Q., Bielefeld University, Neuroinformatics Group, CITEC, Germany; Ückermann, A., Bielefeld University, Neuroinformatics Group, CITEC, Germany; Haschke, R., Bielefeld University, Neuroinformatics Group, CITEC, Germany; Ritter, H., Bielefeld University, Neuroinformatics Group, CITEC, Germany"
"Losing V., Wersing H., Hammer B.","Enhancing Very Fast Decision Trees with Local Split-Time Predictions","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061372938&doi=10.1109%2fICDM.2018.00044&partnerID=40&md5=86b5da97cd915c0d1dc8f703d854bef3","Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany; HONDA Research Institute Europe, Carl-Legien-Str. 30, Offenbach am Main, 63073, Germany","Losing, V., Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany, HONDA Research Institute Europe, Carl-Legien-Str. 30, Offenbach am Main, 63073, Germany; Wersing, H., HONDA Research Institute Europe, Carl-Legien-Str. 30, Offenbach am Main, 63073, Germany; Hammer, B., Bielefeld University, Universitätsstr. 25, Bielefeld, 33615, Germany"
"Sprute D., Rasch R., Portner A., Battermann S., Konig M.","Gesture-Based Object Localization for Robot Applications in Intelligent Environments","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85061533335&doi=10.1109%2fIE.2018.00015&partnerID=40&md5=de91e0209fca7d0657a45e2f80864be8","Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany; Otto-von-Guericke University Magdeburg, Faculty of Computer Science, Magdeburg, 39106, Germany; University Bielefeld, Bielefeld, 33619, Germany","Sprute, D., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany, Otto-von-Guericke University Magdeburg, Faculty of Computer Science, Magdeburg, 39106, Germany; Rasch, R., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany, University Bielefeld, Bielefeld, 33619, Germany; Portner, A., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany; Battermann, S., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany; Konig, M., Bielefeld University of Applied Sciences, Campus Minden, Minden, 32427, Germany"
"Mohammadi P., Malekzadeh M., Kodl J., Mukovskiy A., Wigand D.L., Giese M., Steil J.J.","Real-time Control of Whole-body Robot Motion and Trajectory Generation for Physiotherapeutic Juggling in VR","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85062987881&doi=10.1109%2fIROS.2018.8593632&partnerID=40&md5=763670b127dd455b635f9a9d14aa40d0","TU Braunschweig, Institute for Robotics and Process Control (IRP), Muehlenpfordtstr. 23, Braunschweig, 38106, Germany; Section for Computational Sensomotorics, Department of Cognitive Neurology, HIH, CIN, University Clinic Tubingen, Tubingen, Germany; Technical Faculty, Bielefeld University, Germany","Mohammadi, P., TU Braunschweig, Institute for Robotics and Process Control (IRP), Muehlenpfordtstr. 23, Braunschweig, 38106, Germany; Malekzadeh, M., TU Braunschweig, Institute for Robotics and Process Control (IRP), Muehlenpfordtstr. 23, Braunschweig, 38106, Germany; Kodl, J., Section for Computational Sensomotorics, Department of Cognitive Neurology, HIH, CIN, University Clinic Tubingen, Tubingen, Germany; Mukovskiy, A., Section for Computational Sensomotorics, Department of Cognitive Neurology, HIH, CIN, University Clinic Tubingen, Tubingen, Germany; Wigand, D.L., Technical Faculty, Bielefeld University, Germany; Giese, M., Section for Computational Sensomotorics, Department of Cognitive Neurology, HIH, CIN, University Clinic Tubingen, Tubingen, Germany; Steil, J.J., TU Braunschweig, Institute for Robotics and Process Control (IRP), Muehlenpfordtstr. 23, Braunschweig, 38106, Germany"
